2023-03-19 22:07:25.336 [main] INFO  org.example.Main - 
 Start of Logging...
2023-03-19 22:07:25.339 [main] ERROR org.example.Main - 
 This is an test error message...
2023-03-19 22:07:25.339 [main] FATAL org.example.Main - 
 This is an test fatal massage...
2023-03-19 22:07:25.339 [main] DEBUG org.example.Main - 
 Control now in the main loop....
2023-03-19 22:07:35.444 [main] DEBUG org.example.Main - 
 See you later...
2023-03-21 14:50:15.473 [main] INFO  org.example.Calculator - [POWER - 4.0 RAISED TO] 3.0
2023-03-21 14:50:15.473 [main] INFO  org.example.Calculator - [RESULT - POWER] - 64.0
2023-03-21 14:50:15.473 [main] INFO  org.example.Calculator - [NATURAL LOG] - 2.4
2023-03-21 14:50:15.473 [main] INFO  org.example.Calculator - [RESULT - NATURAL LOG] - 0.8754687373538999
2023-03-21 14:50:15.473 [main] INFO  org.example.Calculator - [NATURAL LOG] - 2.1
2023-03-21 14:50:15.473 [main] INFO  org.example.Calculator - [RESULT - NATURAL LOG] - 0.7419373447293773
2023-03-21 14:50:32.982 [main] INFO  org.example.Calculator - [SQ ROOT] - 3.789
2023-03-21 14:50:32.986 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 1.9465353837010002
2023-03-21 21:39:00.662 [main] INFO  org.example.Calculator - [SQ ROOT] - 25.0
2023-03-21 21:39:00.663 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 5.0
2023-03-21 21:39:00.664 [main] INFO  org.example.Calculator - [SQ ROOT] - 16.0
2023-03-21 21:39:00.664 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 4.0
2023-03-21 21:39:00.664 [main] INFO  org.example.Calculator - [SQ ROOT] - 9.0
2023-03-21 21:39:00.664 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 3.0
2023-03-21 21:39:00.664 [main] INFO  org.example.Calculator - [SQ ROOT] - 4.0
2023-03-21 21:39:00.664 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 2.0
2023-03-21 21:39:00.665 [main] INFO  org.example.Calculator - [SQ ROOT] - 3.0
2023-03-21 21:39:00.665 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 1.7320508075688772
2023-03-21 21:39:00.665 [main] INFO  org.example.Calculator - [SQ ROOT] - 4.0
2023-03-21 21:39:00.665 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 2.0
2023-03-21 21:39:00.665 [main] INFO  org.example.Calculator - [SQ ROOT] - 81.0
2023-03-21 21:39:00.665 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 9.0
2023-03-21 21:39:00.666 [main] INFO  org.example.Calculator - [SQ ROOT] - 36.0
2023-03-21 21:39:00.666 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 6.0
2023-03-21 21:39:00.666 [main] INFO  org.example.Calculator - [NATURAL LOG] - 1.0
2023-03-21 21:39:00.667 [main] INFO  org.example.Calculator - [RESULT - NATURAL LOG] - 0.0
2023-03-21 21:39:00.667 [main] INFO  org.example.Calculator - [NATURAL LOG] - 1.0
2023-03-21 21:39:00.667 [main] INFO  org.example.Calculator - [RESULT - NATURAL LOG] - 0.0
2023-03-21 21:39:00.674 [main] INFO  org.example.Calculator - [POWER - 2.0 RAISED TO] 2.0
2023-03-21 21:39:00.674 [main] INFO  org.example.Calculator - [RESULT - POWER] - 4.0
2023-03-21 21:39:00.674 [main] INFO  org.example.Calculator - [POWER - 2.0 RAISED TO] 3.0
2023-03-21 21:39:00.675 [main] INFO  org.example.Calculator - [RESULT - POWER] - 8.0
2023-03-21 21:39:00.675 [main] INFO  org.example.Calculator - [POWER - 2.0 RAISED TO] 3.0
2023-03-21 21:39:00.675 [main] INFO  org.example.Calculator - [RESULT - POWER] - 8.0
2023-03-21 21:39:00.676 [main] INFO  org.example.Calculator - [POWER - 4.0 RAISED TO] 3.0
2023-03-21 21:39:00.676 [main] INFO  org.example.Calculator - [RESULT - POWER] - 64.0
2023-03-21 21:39:00.676 [main] INFO  org.example.Calculator - [NATURAL LOG] - 2.4
2023-03-21 21:39:00.676 [main] INFO  org.example.Calculator - [RESULT - NATURAL LOG] - 0.8754687373538999
2023-03-21 21:39:00.676 [main] INFO  org.example.Calculator - [NATURAL LOG] - 2.1
2023-03-21 21:39:00.676 [main] INFO  org.example.Calculator - [RESULT - NATURAL LOG] - 0.7419373447293773
2023-03-21 21:46:17.264 [main] INFO  org.example.Main - [SQ ROOT] - 25.0
2023-03-21 21:46:17.268 [main] INFO  org.example.Main - [RESULT - SQ ROOT] - 5.0
2023-03-21 21:46:17.268 [main] INFO  org.example.Main - [SQ ROOT] - 16.0
2023-03-21 21:46:17.268 [main] INFO  org.example.Main - [RESULT - SQ ROOT] - 4.0
2023-03-21 21:46:17.268 [main] INFO  org.example.Main - [SQ ROOT] - 9.0
